Model,K,DOPM@K,LongTailCoverage@K,GenreCoverage@K,CatalogCoverage@K
FAS-MOEA,5,1.8329164482904192,0.034347826086956516,1.0,0.43222354340071345
FAS-MOEA,10,1.8172702725179009,0.03391304347826087,1.0,0.5315101070154578
FAS-MOEA,15,1.7900572393821093,0.03630434782608695,1.0,0.5838287752675386
FAS-MOEA,20,1.757029915094254,0.03853260869565218,1.0,0.6159334126040428
FAS-MOEA,25,1.7200142591983971,0.042,1.0,0.6444708680142688
FAS-MOEA,30,1.6893781897986808,0.044130434782608696,1.0,0.667063020214031
MSRS,5,2.070479793814213,0.009999999999999998,1.0,0.36087990487514865
MSRS,10,2.0654903259646633,0.008804347826086958,1.0,0.4233055885850178
MSRS,15,2.062031758700808,0.009202898550724637,1.0,0.45541022592152197
MSRS,20,2.0579370213834487,0.009782608695652175,1.0,0.4815695600475624
MSRS,25,2.055581740718821,0.010652173913043479,1.0,0.4958382877526754
MSRS,30,2.056848509470406,0.011376811594202898,1.0,0.5089179548156956
