Model,K,FAS_Fairness@K,GenreEntropy@K,ProducerFairness@K
FAS-MOEA,5,0.9006404939690394,1.5304645321327544,0.23845556972194312
FAS-MOEA,10,0.9245569415999031,1.9644918893037417,0.21736253125497573
FAS-MOEA,15,0.9370435219910399,2.1436485746739655,0.20758108383330792
FAS-MOEA,20,0.945258445854591,2.2605563404575655,0.20187293380440358
FAS-MOEA,25,0.9521124180057944,2.3443236997464747,0.19705595460032949
FAS-MOEA,30,0.9593561469453762,2.414581513731245,0.19426430115655136
MSRS,5,0.8953065854303406,1.5912888521528914,0.3300066109911554
MSRS,10,0.9170733066728758,2.046314459886093,0.3045140032963995
MSRS,15,0.9250905787185878,2.250135048043093,0.2942434909949749
MSRS,20,0.9303785463117209,2.3696983719405234,0.2893198215787226
MSRS,25,0.9332589384996426,2.4440069075723825,0.28500372830550696
MSRS,30,0.9353878698632367,2.5066067052239256,0.28216109550548557
MSRS II,5,0.0028888193588751093,0.0067019394398500935,0.000720235649619709
MSRS II,10,0.003011290107915829,0.0078954666128225,0.0007938869832466686
MSRS II,15,0.0030224426092372225,0.00903555516837823,0.0007824788491063104
MSRS II,20,0.00304684452896265,0.009210174688112905,0.0007756170203024868
MSRS II,25,0.003058493717959274,0.009446934058365646,0.0007825195860336799
MSRS II,30,0.0030709609520952444,0.009818087839703104,0.0007655900576781418
MSRS IV,5,0.88651079744553,1.7968942621313555,0.25897032636609285
MSRS IV,10,0.9095182209330765,2.3188363003068986,0.23831595536654718
MSRS IV,15,0.9202396996320804,2.5407042543946763,0.2327155651064385
MSRS IV,20,0.9258972209273361,2.686693750913897,0.230834385559761
MSRS IV,25,0.9292248316758218,2.7840790446458294,0.2313998071671968
MSRS IV,30,0.9304844599255232,2.8653193349359576,0.23312183285825505
